name	inchi	descriptor
glucose	"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1"	feedstock
ammonium	InChI=1S/H3N/h1H3/p+1	inorganics
sodium	InChI=1S/Na/q+1	inorganics
potassium	InChI=1S/K/q+1	inorganics
calcium	InChI=1S/Ca/q+2	inorganics
magnesium	InChI=1S/Mg/q+2	inorganics
cupric	InChI=1S/Cu/q+2	inorganics
ferric	InChI=1S/Fe/q+3	inorganics
manganese	InChI=1S/Mn/q+2	inorganics
molybdenum	InChI=1S/Mo/q+1	inorganics
nickel	InChI=1S/Ni/q+1	inorganics
zinc	InChI=1S/Zn/q+2	inorganics
cobalt	InChI=1S/Co/q+2	inorganics
sulfate	"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2"	inorganics
carbonate	"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-2"	inorganics
proton	InChI=1S/p+1	inorganics
hydroxide	InChI=1S/H2O/h1H2/p-1	inorganics
sulfide	InChI=1S/S/q-2	inorganics
chloride	InChI=1S/ClH/h1H/p-1	inorganics
bromide	InChI=1S/BrH/h1H/p-1	inorganics
iodide	InChI=1S/HI/h1H/p-1	inorganics
fluoride	InChI=1S/FH/h1H/p-1	inorganics
phosphate	"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3"	inorganics
H2O	InChI=1S/H2O/h1H2	inorganics
CO2	InChI=1S/CO2/c2-1-3	inorganics
O2	InChI=1S/O2/c1-2	inorganics
ATP	"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"	minimal_metabolite
NAD+	"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1"	minimal_metabolite
oxaloacetate	"InChI=1S/C4H4O5/c5-2(4(8)9)1-3(6)7/h1H2,(H,6,7)(H,8,9)"	minimal_metabolite
